Character,item,itemID,start time,end time,current time
Dgryphon,coppery mithril platemail,1822220,Fri Dec 16 11:53:30 -0500 2011,Sat Dec 17 11:53:30 -0500 2011,Thu Dec 08 11:53:30 -0500 2011
Dgry,Empty,,Thu Apr 05 14:18:20 -0400 2012,Fri Apr 06 14:18:20 -0400 2012,Thu Mar 29 14:18:20 -0400 2012
Denvahlon,rosewood runestaff,113206965,Sat Apr 07 17:15:37 -0400 2012,Sun Apr 08 17:15:37 -0400 2012,Sat Mar 31 17:15:37 -0400 2012
Dgryphon,smoky glaes sledgehammer,125171558,Wed Apr 18 13:37:23 -0400 2012,Thu Apr 19 13:37:23 -0400 2012,Fri Apr 06 13:37:23 -0400 2012
Dgryphon,Empty,,Sun Apr 15 15:00:19 -0400 2012,Sun Apr 15 15:00:19 -0400 2012,Fri Apr 06 15:00:19 -0400 2012
Dgryphon,Empty,,Sun Apr 15 15:01:16 -0400 2012,Sun Apr 15 15:01:16 -0400 2012,Fri Apr 06 15:01:16 -0400 2012
